  Pos   #Nodo   Puntaje
    1       1   (0.448059)
    2       2   (0.399597)
    3       3   (0.058594)
    4       4   (0.018750)
    5       5   (0.018750)
    6       6   (0.018750)
    7       7   (0.018750)
    8       8   (0.018750)
  Pos   #Nodo   Puntaje
    1       1   (0.448059)
    2       2   (0.399597)
    3       3   (0.058594)
    4       4   (0.018750)
    5       5   (0.018750)
    6       6   (0.018750)
    7       7   (0.018750)
    8       8   (0.018750)
